"study","task","estimand","method","role","eligible","uncertainty_supported","condition","reason_or_limit"
"study2","surface","m(x,c)","EIV-GP","proposed","yes","yes","all calibration sizes",""
"study2","surface","m(x,c)","UC-GP","published competitor","yes","point only","all calibration sizes","does not define physical u"
"study2","surface","m(x,c)","LVGP","published competitor","yes","point only","all calibration sizes","does not define physical u"
"study2","surface","m(x,c)","EzGP","published competitor","yes","point only","all calibration sizes","does not define physical u"
"study2","surface","f(x,u)","EIV-GP","proposed","yes","yes","positive, anchoring calibration","physical u scale is not identified at k=0"
"study2","surface","f(x,u)","PI-GP","scientific ablation","yes","optimizer approximation","positive, anchoring calibration","plug-in ignores latent-input uncertainty"
"study2","surface","f(x,u)","CC-GP","scientific ablation","yes","optimizer approximation","at least three complete cases","uses only calibrated cases"
"study2","surface","f(x,u)","Full-U GP","infeasible benchmark","yes","optimizer approximation","all training u observed","benchmark, not a deployable competitor"
"study2","prediction","Y*|x*,c*","EIV-GP","proposed","yes","yes","all calibration sizes",""
"study2","prediction","Y*|x*,c*","UC-GP","published competitor","yes","predictive","all calibration sizes",""
"study2","prediction","Y*|x*,c*","LVGP","published competitor","yes","predictive","all calibration sizes",""
"study2","prediction","Y*|x*,c*","EzGP","published competitor","yes","predictive","all calibration sizes",""
"study2","prediction","Y*|x*,c*","PI-GP","scientific ablation","yes","predictive","cells with ablations","imputes a latent input and then plugs it into a GP"
"study2","prediction","Y*|x*,c*","CC-GP","scientific ablation","yes","predictive","positive calibration in cells with ablations","fits the response GP only to complete cases"
"study2","prediction","Y*|x*,c*","DGM oracle","truth benchmark","yes","truth","simulation only","never ranked as a fitted method"
"study2","latent state","training U|X,C,Y","EIV-GP","proposed","yes","yes","positive, anchoring calibration","physical coordinates are not identified at k=0"
"study2","latent state","training U|C","RF-OM","response-free ablation","yes","yes","positive, anchoring calibration","does not use y"
"study2","latent state","prospective U*|X*,C*,Y-data","EIV-GP","proposed","yes","yes","positive, anchoring calibration","y* is not conditioned on"
"study2","latent state","prospective U*|C*","RF-OM","response-free ablation","yes","yes","positive, anchoring calibration","does not use response data"
